User_ID,Age,Gender,City,Current_Service_Provider,Monthly_Bill_Amount,Network_Quality_Rating,Customer_Service_Rating,Internet_Speed_Rating,Loyalty_Duration_Years,Is_Satisfied,Will_Change_Service
52,34,Female,Kolkata,Vodafone Idea,1044,4,1,4,10,1,1
53,20,Female,Bangalore,Airtel,839,5,5,3,10,0,1
54,64,Male,Mumbai,BSNL,787,5,1,1,2,1,1
55,47,Male,Chennai,Vodafone Idea,1145,5,1,4,1,0,1
56,52,Male,Delhi,Jio,743,3,4,5,7,0,1
57,25,Female,Hyderabad,Airtel,341,3,5,2,0,0,1
58,42,Female,Bangalore,BSNL,1043,5,3,4,4,1,0
59,23,Male,Hyderabad,BSNL,1096,3,4,5,7,1,0
60,53,Female,Mumbai,Airtel,1035,4,3,2,0,1,1
61,36,Male,Hyderabad,Vodafone Idea,695,4,4,3,1,1,0
62,58,Female,Mumbai,Vodafone Idea,1546,4,1,5,2,0,1
63,57,Male,Mumbai,Airtel,284,2,4,5,5,1,1
64,41,Male,Kolkata,Jio,1474,1,4,1,9,1,1
65,54,Female,Bangalore,Jio,1631,1,5,4,2,1,1
66,30,Male,Hyderabad,Jio,382,1,3,4,8,0,1
67,63,Male,Chennai,Airtel,1099,5,1,4,10,1,1
68,22,Female,Delhi,Jio,707,2,1,3,3,1,1
69,20,Male,Hyderabad,Jio,888,3,5,1,3,0,1
70,60,Male,Hyderabad,Jio,1333,1,1,2,10,0,1
71,32,Female,Chennai,BSNL,478,2,2,2,9,1,1
72,36,Male,Hyderabad,Airtel,1705,5,4,2,7,1,1
73,23,Female,Mumbai,Airtel,252,1,1,5,1,1,1
74,32,Female,Hyderabad,Jio,297,5,4,1,7,0,1
75,24,Female,Bangalore,Vodafone Idea,1209,2,5,5,10,1,1
76,42,Male,Kolkata,Vodafone Idea,1478,2,5,2,8,0,1
77,35,Male,Hyderabad,BSNL,1732,2,5,2,5,0,1
78,47,Female,Kolkata,Jio,1809,5,2,3,6,1,1
79,58,Male,Mumbai,BSNL,1420,4,4,2,8,0,1
80,41,Female,Kolkata,Jio,1229,5,1,5,1,1,1
81,28,Female,Chennai,Jio,396,3,4,2,7,1,1
82,41,Male,Kolkata,Jio,674,1,1,4,6,1,1
83,40,Male,Bangalore,Jio,288,2,1,4,9,1,1
84,31,Male,Chennai,Vodafone Idea,1346,4,3,1,7,1,1
85,60,Male,Chennai,Airtel,1559,2,5,2,5,0,1
86,35,Male,Kolkata,Jio,1312,1,4,4,0,0,1
87,62,Female,Bangalore,Airtel,924,5,4,5,5,1,0
88,61,Male,Hyderabad,BSNL,382,3,5,2,9,0,1
89,59,Male,Mumbai,Jio,992,5,4,4,1,0,1
90,22,Male,Chennai,Vodafone Idea,645,1,1,5,7,0,1
91,56,Male,Hyderabad,BSNL,462,4,1,3,3,0,1
92,58,Female,Delhi,Vodafone Idea,433,3,5,5,9,0,1
93,28,Male,Chennai,Vodafone Idea,388,3,5,5,3,0,1
94,52,Female,Kolkata,Vodafone Idea,1335,2,4,5,0,1,1
95,64,Female,Chennai,Airtel,1077,4,4,3,1,1,0
96,33,Female,Delhi,Airtel,784,2,4,2,0,1,1
97,28,Female,Hyderabad,Vodafone Idea,1149,3,3,2,10,1,1
98,47,Male,Delhi,Airtel,1303,2,5,3,5,1,1
99,42,Male,Delhi,BSNL,252,4,5,2,5,1,1
100,35,Male,Hyderabad,Airtel,1020,3,2,5,9,1,1
101,58,Male,Mumbai,Jio,209,2,2,4,1,0,1
102,62,Female,Delhi,BSNL,1761,2,2,3,6,0,1
103,53,Female,Mumbai,Airtel,1548,3,4,3,9,0,1
104,32,Female,Bangalore,BSNL,1905,4,1,3,8,0,1
105,61,Female,Delhi,Jio,1970,1,4,5,3,1,1
106,38,Male,Delhi,Jio,1910,1,1,3,3,0,1
107,21,Male,Hyderabad,Airtel,641,3,3,2,10,1,1
108,32,Male,Chennai,Airtel,1576,1,1,4,1,1,1
109,20,Male,Bangalore,Vodafone Idea,1597,2,3,5,7,1,1
110,38,Male,Kolkata,Jio,850,5,5,4,9,1,0
111,43,Male,Delhi,Airtel,645,1,2,5,3,0,1
112,35,Female,Kolkata,BSNL,1976,5,3,1,6,1,1
113,22,Female,Hyderabad,Airtel,370,2,2,1,4,0,1
114,31,Female,Bangalore,Airtel,315,5,3,1,10,0,1
115,54,Female,Hyderabad,BSNL,1786,3,3,3,7,0,1
116,63,Male,Mumbai,BSNL,1233,1,5,2,0,0,1
117,38,Female,Kolkata,BSNL,809,5,1,2,8,1,1
118,31,Female,Kolkata,BSNL,1494,1,5,1,9,1,1
119,59,Male,Bangalore,Jio,701,4,3,4,4,0,1
120,49,Male,Hyderabad,Airtel,863,1,4,3,4,0,1
121,43,Female,Hyderabad,Vodafone Idea,1095,2,3,1,0,1,1
122,59,Female,Bangalore,BSNL,1806,3,4,5,6,0,1
123,47,Female,Hyderabad,BSNL,1810,3,2,5,5,0,1
124,27,Female,Delhi,Vodafone Idea,192,5,5,1,10,0,1
125,34,Female,Kolkata,Jio,753,1,3,3,4,0,1
126,26,Female,Delhi,Vodafone Idea,991,3,2,5,5,1,1
127,33,Female,Bangalore,Vodafone Idea,1696,4,3,4,2,1,1
128,65,Male,Mumbai,Airtel,1135,1,2,4,5,0,1
129,53,Male,Hyderabad,BSNL,358,1,2,1,9,0,1
130,52,Male,Delhi,BSNL,105,1,5,3,3,0,1
131,34,Male,Hyderabad,Jio,1830,4,5,3,5,0,1
132,65,Male,Kolkata,Jio,1283,5,5,3,7,0,1
133,55,Male,Hyderabad,Jio,389,2,2,5,0,0,1
134,45,Female,Bangalore,Jio,358,2,3,1,10,1,1
135,55,Female,Hyderabad,Jio,1829,1,2,4,7,0,1
136,43,Female,Chennai,Jio,1881,3,4,2,6,0,1
137,41,Male,Mumbai,Airtel,851,4,4,4,5,1,0
138,32,Female,Hyderabad,Airtel,1117,4,2,5,0,0,1
139,26,Female,Hyderabad,BSNL,1800,1,1,4,9,0,1
140,50,Male,Bangalore,Vodafone Idea,100,1,4,5,4,1,1
141,49,Male,Hyderabad,Airtel,1554,1,4,1,6,0,1
142,23,Female,Bangalore,Jio,1276,2,3,2,2,0,1
143,21,Female,Delhi,Jio,136,5,5,3,0,0,1
144,25,Male,Bangalore,Vodafone Idea,1603,2,1,5,7,0,1
145,27,Female,Kolkata,Jio,201,5,1,1,8,1,1
146,58,Female,Mumbai,Vodafone Idea,229,2,3,2,10,0,1
147,28,Male,Hyderabad,Vodafone Idea,1394,4,5,1,5,1,1
148,61,Male,Bangalore,BSNL,917,1,3,3,6,0,1
149,45,Female,Mumbai,Vodafone Idea,549,1,4,4,2,1,1
150,56,Female,Mumbai,Jio,1995,1,4,2,10,1,1
151,22,Male,Delhi,Vodafone Idea,1542,2,5,4,2,0,1
152,42,Male,Chennai,BSNL,1940,2,4,2,7,1,1
153,42,Female,Mumbai,Vodafone Idea,800,2,5,1,1,1,1
154,56,Male,Bangalore,Jio,939,5,2,4,9,1,1
155,47,Female,Chennai,Airtel,663,4,1,2,10,0,1
156,51,Male,Delhi,BSNL,208,1,2,4,2,0,1
157,34,Female,Kolkata,Airtel,1040,3,1,4,6,0,1
158,53,Female,Kolkata,Jio,451,1,2,1,0,1,1
159,18,Female,Kolkata,Jio,532,2,5,2,2,1,1
160,61,Male,Mumbai,Airtel,1794,1,3,2,10,0,1
161,64,Male,Chennai,Jio,378,3,2,2,10,1,1
162,25,Male,Delhi,Airtel,670,5,2,3,6,0,1
163,61,Male,Chennai,Jio,1835,3,4,5,1,0,1
164,52,Female,Hyderabad,Jio,1870,1,2,3,1,0,1
165,35,Female,Mumbai,BSNL,1062,4,4,1,8,0,1
166,59,Male,Bangalore,Vodafone Idea,463,4,4,5,6,0,1
167,39,Male,Delhi,Airtel,1130,4,4,1,8,0,1
168,25,Female,Chennai,BSNL,433,3,5,2,0,1,1
169,36,Female,Chennai,BSNL,1983,2,5,5,1,0,1
170,45,Male,Kolkata,Vodafone Idea,1246,3,2,3,0,1,1
171,28,Female,Chennai,Jio,1351,3,3,3,9,0,1
172,47,Female,Chennai,BSNL,771,4,3,5,3,1,0
173,18,Male,Mumbai,BSNL,1917,1,1,5,6,1,1
174,64,Male,Delhi,Jio,1576,3,3,5,0,1,1
175,64,Female,Hyderabad,BSNL,1913,2,1,4,9,1,1
176,34,Female,Hyderabad,Vodafone Idea,1712,2,2,4,10,1,1
177,50,Male,Bangalore,BSNL,673,4,3,2,1,0,1
178,29,Male,Kolkata,Airtel,110,4,2,4,9,0,1
179,50,Female,Mumbai,Vodafone Idea,219,2,5,5,4,0,1
180,24,Female,Chennai,Vodafone Idea,282,3,3,2,9,1,1
181,58,Female,Hyderabad,Vodafone Idea,1094,4,3,5,0,1,0
182,37,Male,Bangalore,Jio,1165,1,4,3,8,0,1
183,58,Female,Delhi,Vodafone Idea,1435,1,1,4,1,0,1
184,50,Female,Kolkata,Vodafone Idea,1968,5,2,5,10,0,1
185,56,Female,Bangalore,BSNL,1772,1,1,3,7,1,1
186,30,Male,Kolkata,BSNL,1158,3,5,3,0,1,0
187,27,Female,Delhi,Airtel,474,2,4,1,0,0,1
188,41,Male,Chennai,Vodafone Idea,429,1,2,5,3,0,1
189,28,Male,Delhi,Vodafone Idea,1510,3,1,2,2,0,1
190,52,Female,Bangalore,Airtel,636,4,5,3,7,1,0
191,51,Female,Kolkata,Vodafone Idea,1568,2,5,4,6,1,1
192,18,Male,Chennai,BSNL,1026,3,4,3,10,1,0
193,56,Male,Chennai,Airtel,592,4,2,1,2,1,1
194,38,Male,Chennai,Jio,284,2,1,1,8,1,1
195,49,Female,Delhi,Airtel,379,3,4,1,0,0,1
196,19,Male,Delhi,Jio,959,2,2,4,5,0,1
197,25,Female,Chennai,BSNL,248,3,5,2,10,1,1
198,41,Female,Hyderabad,Airtel,897,5,2,4,10,0,1
199,37,Female,Mumbai,Airtel,1210,4,4,4,8,0,1
200,33,Male,Kolkata,Vodafone Idea,1992,1,4,1,7,0,1
201,21,Male,Chennai,Jio,1727,4,4,2,7,1,1
202,33,Female,Delhi,Vodafone Idea,1681,4,4,5,7,0,1
203,54,Female,Delhi,Vodafone Idea,864,5,1,4,7,1,1
204,23,Female,Kolkata,BSNL,112,2,1,2,0,0,1
205,23,Female,Kolkata,BSNL,1086,2,5,3,1,0,1
206,64,Female,Mumbai,Airtel,234,3,3,4,4,0,1
207,49,Male,Delhi,Jio,220,1,2,4,10,1,1
208,22,Male,Bangalore,BSNL,1710,2,3,4,9,0,1
209,52,Male,Bangalore,Jio,819,4,2,1,7,1,1
210,26,Male,Mumbai,Jio,1251,2,4,1,2,1,1
211,26,Female,Kolkata,Jio,1413,4,5,2,6,1,1
212,60,Female,Delhi,Airtel,1529,4,4,3,8,1,1
213,48,Female,Kolkata,Jio,1642,1,2,5,2,0,1
214,53,Female,Delhi,Vodafone Idea,220,5,1,3,1,1,1
215,28,Male,Mumbai,Jio,287,4,5,2,1,0,1
216,34,Male,Hyderabad,Airtel,337,4,1,2,9,1,1
217,51,Male,Chennai,Vodafone Idea,1276,4,1,2,5,0,1
218,56,Female,Mumbai,Jio,861,3,4,1,6,1,1
219,45,Male,Kolkata,Jio,102,4,1,1,10,0,1
220,31,Female,Kolkata,Vodafone Idea,1350,2,2,5,10,1,1
221,52,Male,Chennai,Jio,464,2,1,1,9,0,1
222,64,Female,Chennai,Airtel,1828,3,1,3,6,0,1
223,62,Male,Chennai,Jio,1049,1,2,4,4,0,1
224,30,Male,Kolkata,Jio,1914,5,3,2,6,0,1
225,63,Male,Mumbai,Jio,1753,4,2,1,0,0,1
226,37,Female,Bangalore,BSNL,323,4,2,5,7,1,1
227,43,Male,Chennai,Jio,1771,5,3,2,7,1,1
228,60,Female,Delhi,Vodafone Idea,1445,4,3,5,3,0,1
229,59,Male,Kolkata,Airtel,276,5,4,2,10,1,1
230,41,Female,Hyderabad,BSNL,745,3,2,3,5,1,1
231,46,Male,Kolkata,Vodafone Idea,480,5,1,5,9,0,1
232,51,Female,Mumbai,BSNL,975,3,3,2,5,0,1
233,46,Male,Mumbai,BSNL,265,4,4,5,6,0,1
234,25,Male,Chennai,BSNL,1630,4,4,4,9,0,1
235,33,Female,Hyderabad,BSNL,1902,1,4,2,10,1,1
236,32,Female,Kolkata,Vodafone Idea,189,2,1,2,1,0,1
237,22,Male,Delhi,Jio,1623,5,5,1,9,1,1
238,39,Female,Chennai,Vodafone Idea,842,1,4,1,2,1,1
239,19,Male,Hyderabad,Airtel,565,2,1,4,2,1,1
240,55,Male,Mumbai,Airtel,1773,3,5,5,0,1,1
241,53,Female,Delhi,Vodafone Idea,1865,1,5,5,5,1,1
242,32,Female,Mumbai,Vodafone Idea,1725,1,4,2,1,0,1
243,55,Male,Chennai,Jio,1002,4,1,1,3,1,1
244,32,Male,Delhi,Airtel,209,1,4,2,5,1,1
245,18,Male,Mumbai,Airtel,1781,5,3,4,6,1,1
246,22,Male,Kolkata,BSNL,1266,3,5,2,3,1,1
247,63,Female,Kolkata,Jio,378,5,4,4,9,1,0
248,58,Female,Hyderabad,Jio,508,5,3,3,10,0,1
249,21,Female,Chennai,BSNL,189,4,4,3,7,1,0
250,32,Female,Delhi,Jio,167,3,4,5,4,0,1
251,22,Male,Mumbai,Jio,1046,2,4,3,8,1,1
252,20,Female,Hyderabad,BSNL,245,2,4,2,10,0,1
253,39,Female,Mumbai,Jio,1758,2,3,2,9,1,1
254,22,Female,Kolkata,BSNL,981,3,1,1,2,0,1
255,50,Female,Hyderabad,BSNL,1315,3,5,4,5,0,1
256,33,Female,Chennai,Jio,742,2,5,2,0,0,1
257,35,Male,Delhi,Jio,1493,3,4,1,0,0,1
258,60,Male,Kolkata,Vodafone Idea,130,1,5,1,7,0,1
259,49,Female,Kolkata,Airtel,109,3,2,5,5,1,1
260,31,Female,Bangalore,Jio,1090,4,2,4,1,1,1
261,52,Female,Kolkata,Vodafone Idea,625,4,3,1,6,0,1
262,26,Male,Hyderabad,Jio,1955,5,3,5,7,1,1
263,64,Male,Hyderabad,BSNL,1534,2,1,3,4,1,1
264,54,Male,Mumbai,Airtel,1799,1,1,2,8,0,1
265,54,Female,Chennai,Jio,1438,2,5,5,6,1,1
266,48,Female,Kolkata,Jio,277,1,3,4,10,1,1
267,33,Male,Bangalore,BSNL,1896,3,2,3,7,1,1
268,48,Male,Hyderabad,Jio,1132,4,2,1,3,0,1
269,44,Female,Hyderabad,Vodafone Idea,1275,3,3,4,5,0,1
270,30,Male,Kolkata,Vodafone Idea,1708,5,2,2,8,1,1
271,24,Female,Mumbai,Airtel,739,3,4,4,1,1,0
272,24,Female,Delhi,Airtel,1250,2,3,5,8,1,1
273,60,Female,Delhi,Vodafone Idea,1556,3,2,4,2,1,1
274,45,Female,Delhi,Airtel,770,3,4,2,1,1,1
275,40,Female,Mumbai,BSNL,1531,5,5,4,7,0,1
276,45,Male,Mumbai,Jio,700,2,2,3,7,0,1
277,44,Male,Chennai,BSNL,564,1,2,1,4,1,1
278,47,Male,Bangalore,Vodafone Idea,1760,4,2,2,8,0,1
279,64,Female,Delhi,Airtel,1422,3,1,5,7,0,1
280,21,Male,Hyderabad,BSNL,388,3,5,3,4,1,0
281,61,Male,Mumbai,Jio,1733,1,1,3,7,0,1
282,59,Male,Delhi,Airtel,1262,1,3,3,7,0,1
283,59,Male,Hyderabad,Vodafone Idea,1168,1,2,1,9,0,1
284,24,Female,Chennai,Vodafone Idea,1059,5,5,1,3,0,1
285,21,Male,Kolkata,Airtel,946,4,1,1,5,0,1
286,43,Female,Bangalore,BSNL,1314,2,4,3,9,1,1
287,64,Female,Hyderabad,Vodafone Idea,1237,5,1,1,9,0,1
288,39,Male,Delhi,Airtel,1273,5,3,1,10,0,1
289,24,Male,Kolkata,BSNL,536,1,3,5,10,1,1
290,33,Female,Kolkata,BSNL,1871,5,4,1,5,1,1
291,30,Male,Chennai,Jio,1856,2,2,5,10,1,1
292,30,Male,Chennai,BSNL,944,4,4,3,8,1,0
293,52,Female,Kolkata,Vodafone Idea,805,2,1,5,4,0,1
294,46,Female,Delhi,Jio,369,1,1,3,3,1,1
295,26,Male,Kolkata,Airtel,1318,4,3,2,8,0,1
296,45,Male,Mumbai,Airtel,626,2,4,2,3,1,1
297,29,Female,Bangalore,Vodafone Idea,671,3,5,4,5,0,1
298,35,Male,Mumbai,Jio,1067,2,1,2,6,0,1
299,47,Female,Hyderabad,BSNL,1668,3,1,2,9,0,1
300,33,Male,Bangalore,BSNL,336,5,3,1,9,0,1
301,22,Female,Mumbai,BSNL,946,3,1,1,9,1,1
302,46,Female,Mumbai,Airtel,1812,5,1,2,7,0,1
303,53,Female,Chennai,Airtel,1600,5,1,4,1,0,1
304,24,Female,Delhi,Vodafone Idea,280,2,1,1,2,0,1
305,21,Male,Chennai,Vodafone Idea,1378,1,4,4,5,1,1
306,59,Male,Hyderabad,Vodafone Idea,1724,5,2,2,2,1,1
307,52,Female,Mumbai,Vodafone Idea,1576,5,4,2,0,1,1
308,18,Male,Hyderabad,BSNL,1154,3,1,2,1,1,1
309,23,Female,Kolkata,Vodafone Idea,1995,5,1,3,9,1,1
310,33,Male,Mumbai,Vodafone Idea,389,4,5,1,3,0,1
311,28,Female,Kolkata,Airtel,1071,5,1,2,0,0,1
312,44,Male,Hyderabad,Airtel,514,1,2,5,6,1,1
313,49,Male,Delhi,Airtel,1748,4,4,2,4,0,1
314,48,Female,Hyderabad,BSNL,736,4,3,1,6,0,1
315,31,Female,Hyderabad,Jio,1760,3,5,2,10,0,1
316,43,Male,Bangalore,BSNL,1202,1,5,3,9,1,1
317,21,Male,Bangalore,Jio,269,3,2,2,1,0,1
318,28,Male,Mumbai,BSNL,536,1,3,3,2,1,1
319,42,Male,Mumbai,Vodafone Idea,1946,1,4,2,6,1,1
320,18,Male,Bangalore,Airtel,1678,1,3,4,7,0,1
321,42,Female,Hyderabad,BSNL,1585,2,5,3,1,1,1
322,34,Male,Hyderabad,BSNL,1684,1,4,2,9,1,1
323,47,Female,Mumbai,BSNL,244,2,5,5,1,1,1
324,36,Female,Mumbai,Airtel,172,3,2,1,9,0,1
325,45,Female,Delhi,Airtel,628,3,2,4,6,0,1
326,62,Male,Mumbai,Airtel,780,2,3,5,9,1,1
327,64,Male,Kolkata,Airtel,192,3,3,2,9,1,1
328,53,Female,Delhi,Airtel,414,1,5,5,3,0,1
329,60,Male,Chennai,Jio,820,2,5,1,3,1,1
330,63,Female,Mumbai,Vodafone Idea,1686,2,2,5,5,0,1
331,49,Female,Mumbai,BSNL,1249,1,3,1,3,1,1
332,27,Male,Kolkata,BSNL,1459,1,4,4,10,1,1
333,30,Male,Delhi,Airtel,1350,4,1,4,0,1,1
334,36,Male,Bangalore,Vodafone Idea,925,1,5,2,3,1,1
335,31,Female,Mumbai,BSNL,554,3,2,1,10,0,1
336,21,Male,Delhi,BSNL,1502,5,1,4,1,0,1
337,55,Female,Delhi,Airtel,475,5,3,4,3,1,0
338,65,Female,Kolkata,BSNL,240,4,5,5,8,0,1
339,52,Female,Kolkata,BSNL,1059,1,4,4,7,0,1
340,21,Male,Bangalore,Airtel,1927,2,4,5,8,0,1
341,65,Female,Chennai,Jio,707,4,5,4,3,1,0
342,38,Male,Hyderabad,Jio,536,2,1,3,0,1,1
343,21,Male,Hyderabad,Airtel,1905,1,3,1,5,0,1
344,21,Male,Mumbai,Vodafone Idea,1704,5,4,2,10,1,1
345,55,Male,Mumbai,Airtel,1719,4,2,2,6,0,1
346,48,Female,Chennai,Vodafone Idea,1591,1,5,1,8,1,1
347,50,Female,Kolkata,BSNL,837,1,4,3,2,1,1
348,51,Male,Kolkata,Airtel,996,2,4,3,8,1,1
349,28,Female,Delhi,BSNL,624,2,3,3,7,1,1
350,21,Male,Bangalore,Vodafone Idea,1173,1,2,3,5,1,1
351,50,Male,Kolkata,Vodafone Idea,1664,2,2,1,3,1,1
352,23,Female,Hyderabad,Vodafone Idea,1904,1,1,1,3,0,1
353,29,Female,Delhi,Vodafone Idea,1787,5,2,4,5,0,1
354,22,Female,Chennai,Jio,595,4,1,1,5,1,1
355,56,Female,Delhi,Vodafone Idea,790,5,4,4,2,0,1
356,22,Male,Chennai,BSNL,1884,5,2,4,6,0,1
357,61,Female,Chennai,Airtel,1980,5,4,3,2,1,1
358,33,Male,Chennai,Vodafone Idea,410,5,4,5,0,1,0
359,43,Male,Chennai,BSNL,961,1,3,4,2,0,1
360,25,Female,Hyderabad,Vodafone Idea,1185,1,2,1,9,0,1
361,54,Female,Kolkata,Jio,223,1,5,1,10,0,1
362,33,Male,Mumbai,Jio,930,3,2,5,4,0,1
363,55,Male,Chennai,Vodafone Idea,1865,1,3,3,8,1,1
364,56,Male,Delhi,BSNL,659,1,4,3,7,0,1
365,20,Female,Mumbai,Vodafone Idea,1217,2,5,3,4,1,1
366,57,Female,Delhi,Jio,991,3,3,5,7,0,1
367,23,Male,Delhi,BSNL,179,4,3,1,8,0,1
368,44,Female,Delhi,Airtel,1626,1,5,1,1,0,1
369,60,Female,Hyderabad,Vodafone Idea,979,2,2,3,1,1,1
370,55,Female,Hyderabad,Vodafone Idea,1017,1,4,1,2,1,1
371,54,Male,Chennai,Jio,496,4,2,4,8,0,1
372,51,Female,Mumbai,Vodafone Idea,1304,1,3,4,2,1,1
373,38,Female,Chennai,Vodafone Idea,1222,5,1,3,6,1,1
374,34,Female,Kolkata,Airtel,548,4,1,2,9,1,1
375,31,Male,Chennai,Airtel,1569,5,1,5,10,0,1
376,60,Female,Bangalore,BSNL,614,4,2,4,9,0,1
377,63,Male,Delhi,Vodafone Idea,1924,1,1,2,3,1,1
378,38,Female,Kolkata,BSNL,713,1,5,5,4,1,1
379,33,Male,Mumbai,Jio,1209,4,4,1,5,0,1
380,34,Male,Chennai,BSNL,1130,2,1,5,1,0,1
381,43,Male,Kolkata,Jio,499,3,1,2,7,1,1
382,26,Male,Chennai,Vodafone Idea,1220,5,3,3,3,1,0
383,60,Male,Chennai,BSNL,721,1,4,1,9,1,1
384,59,Male,Chennai,Vodafone Idea,462,5,1,1,2,0,1
385,37,Male,Delhi,Vodafone Idea,751,3,3,3,2,1,0
386,47,Female,Delhi,BSNL,1738,1,1,1,2,0,1
387,38,Male,Hyderabad,Vodafone Idea,566,5,5,3,9,0,1
388,22,Male,Delhi,Jio,883,3,1,1,3,1,1
389,18,Female,Hyderabad,Jio,1986,4,5,5,1,1,1
390,47,Male,Bangalore,Vodafone Idea,1733,5,3,4,7,0,1
391,57,Male,Mumbai,Airtel,1959,3,3,5,10,0,1
392,54,Male,Chennai,Airtel,1391,3,2,5,7,0,1
393,24,Female,Chennai,Jio,1840,1,2,4,8,1,1
394,22,Female,Hyderabad,Vodafone Idea,710,1,4,1,6,1,1
395,52,Male,Chennai,Vodafone Idea,931,1,1,2,5,0,1
396,31,Male,Hyderabad,Jio,1973,2,4,1,0,1,1
397,50,Male,Bangalore,BSNL,382,4,2,3,3,0,1
398,34,Male,Bangalore,Airtel,1206,3,1,2,9,0,1
399,26,Male,Bangalore,Jio,197,2,2,3,10,1,1
400,40,Female,Chennai,Airtel,777,3,2,3,4,1,1
401,22,Male,Mumbai,Airtel,784,5,3,2,10,0,1
402,33,Male,Hyderabad,BSNL,208,2,4,2,7,0,1
403,41,Female,Chennai,Vodafone Idea,1012,1,2,2,5,0,1
404,36,Female,Mumbai,Jio,1771,1,4,2,10,0,1
405,28,Female,Bangalore,Vodafone Idea,1009,4,5,5,10,0,1
406,46,Female,Kolkata,Vodafone Idea,1998,2,2,1,0,0,1
407,52,Female,Delhi,BSNL,666,5,1,3,5,1,1
408,63,Female,Delhi,Jio,1543,5,1,5,5,1,1
409,37,Female,Mumbai,BSNL,202,4,1,5,7,1,1
410,57,Male,Hyderabad,Airtel,905,5,1,2,10,0,1
411,59,Female,Hyderabad,Vodafone Idea,837,1,1,4,7,0,1
412,51,Male,Bangalore,Airtel,1019,4,5,4,7,1,0
413,18,Male,Delhi,Vodafone Idea,1369,2,1,3,9,1,1
414,60,Male,Delhi,Jio,787,4,5,2,1,0,1
415,53,Male,Bangalore,BSNL,821,5,5,3,7,1,0
416,37,Male,Hyderabad,Airtel,263,1,5,3,4,1,1
417,60,Female,Mumbai,Jio,845,2,2,1,3,1,1
